mcc,mcc_range_start,mcc_range_end,mcc_range_description,mcc_range_reserved_flag,iso_description,usda_description,stripe_description,stripe_code,visa_req_clearing_name,alipay_description,mastercard_description,mastercard_abbreviated_airline_name,amex_description,visa_mcc,visa_mcc_title,visa_mcc_description,visa_included_in_mcc,human_assigned_coicop_label
7929,7800,7999,Amusement and entertainment,False,"Bands, orchestras and miscellaneous entertainers -- not elsewhere classified","Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)","Bands, Orchestras",bands_orchestras,,"Bands, orchestras and miscellaneous entertainers - not elsewhere classified","Bands, Orchestras, and Miscellaneous Entertainers: not elsewhere classified",,"Bands, Orchestras, and Miscellaneous Entertainers - Not Elsewhere Classified",7929,"Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)","Merchants classified with this MCC provide entertainment other than theatrical productions (such as musicians, bands, orchestras, and other types of entertainers such as comedians and magicians).",DJs Dance Bands Magicians Music Bands Musicians,CULTURAL AND RECREATIONAL SERVICES
7932,7800,7999,Amusement and entertainment,False,Billiard and pool establishments,Billiard and Pool Establishments,Billiard/Pool Establishments,billiard_pool_establishments,,Billiard and pool establishments,Pool and Billiard Establishments,,Billiard and Pool Establishments,7932,Billiard and Pool Establishments,Merchants classified with this MCC operate establishments that rent the use of pool or billiard tables and other games for entertainment.,Billiard Parlors Snooker Parlors,CULTURAL AND RECREATIONAL SERVICES
7933,7800,7999,Amusement and entertainment,False,Bowling alleys,Bowling Alleys,Bowling Alleys,bowling_alleys,,Bowling alleys,Bowling Alleys,,Bowling Alleys,7933,Bowling Alleys,Merchants classified with this MCC operate bowling alleys for entertainment.,,CULTURAL AND RECREATIONAL SERVICES
7941,7800,7999,Amusement and entertainment,False,"Commercial sports, professional sports clubs, athletic fields and sports promoters","Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters",Sports Clubs/Fields,sports_clubs_fields,,"Commercial sports, professional sports clubs, athletic fields and sports promoters","Athletic Fields, Commercial Sports, Professional Sports Clubs, Sports Promoters",,"Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters",7941,"Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters","Merchants classified with this MCC operate and promote semiprofessional and professional athletic clubs (such as baseball, basketball, football, hockey, soccer), promote amateur and professional athletic events, manage individual athletes, and manage sports arenas and stadiums.","Arenas – Sports Athletic Fields Automotive Race Tracks – Non-Participatory Clubs – Professional Sports Professional Sports Clubs Promoters – Sporting Events Race Tracks – Entrance Fee, Non-Betting Transactions Sports Promoters Stadiums",CULTURAL AND RECREATIONAL SERVICES
7991,7800,7999,Amusement and entertainment,False,Tourist attractions and exhibits,Tourist Attractions and Exhibits,Tourist Attractions and Exhibits,tourist_attractions_and_exhibits,,Tourist attractions and exhibits,Tourist Attractions and Exhibits,,Tourist Attractions and Exhibits,7991,Tourist Attractions and Exhibits,"Merchants classified with this MCC operate a variety of tourist attractions and exhibits for entertainment, such as botanical gardens, craft shows, museums, and wineries.","Arboretums Art Museums Botanical Gardens Exhibits Expositions Gardens – Botanical
Museums Wineries",CULTURAL AND RECREATIONAL SERVICES
7992,7800,7999,Amusement and entertainment,False,Public golf courses,Golf Courses - Public,Golf Courses - Public,golf_courses_public,,Public golf courses,"Golf Courses, Public",,Public Golf Courses,7992,Public Golf Courses,Merchants classified with this MCC operate public golf courses.,,CULTURAL AND RECREATIONAL SERVICES
7993,7800,7999,Amusement and entertainment,False,Video amusement game supplies,Video Amusement Game Supplies,Video Amusement Game Supplies,video_amusement_game_supplies,,Video amusement game supplies,Video Amusement Game Supplies,,Video Amusement Game Supplies,7993,Video Amusement Game Supplies,"Merchants classified with this MCC sell coin-operated amusement machines such as video game machines, jukeboxes, pinball machines, slot machines, mechanical games, instant photograph booths, and similar types of amusement equipment and game supplies. Merchants that operate video and game arcades for public use must be classified with MCC 7994 – Video Game Arcades/Establishments.",,CULTURAL AND RECREATIONAL SERVICES
7994,7800,7999,Amusement and entertainment,False,Video game arcades and establishments,Video Game Arcades/Establishments,Video Game Arcades,video_game_arcades,,Video game arcades and establishments,Video Game Arcades/Establishments,,Video Game Arcades and Establishments,7994,Video Game Arcades/Establishments,"Merchants classified with this MCC operate arcades, amusement machines (such as video game machines, jukeboxes, pinball machines, mechanical games, instant photograph booths, and similar types of amusement equipment) and indoor playgrounds.",Social casinos not offering any prizes of monetary value,CULTURAL AND RECREATIONAL SERVICES
7995,7800,7999,Amusement and entertainment,False,"Betting, including lottery tickets, casino gaming chips, off-track betting and wagers at race tracks","Betting (including Lottery Tickets, Casino Gaming Chips, Off-track Betting and Wagers)",Betting/Casino Gambling,betting_casino_gambling,,,Gambling Transactions,,"Betting, including Lottery Tickets, Casino Gaming Chips, Off-Track Betting, and Wagers at Race Tracks",7995,"Betting, including Lottery Tickets, Casino Gaming Chips, Off-Track Betting, Wagers at Race Tracks and games of chance to","Merchants classified with this MCC operate games of chance to win prizes of monetary value or betting establishments. Merchants that are unable to distinguish a betting transaction from other transactions, must identify all transactions with MCC 7995.",Betting – Casino Gaming Chips Betting – Lottery Tickets Betting – Off-Track Betting – Wagers Bingo Parlors Raffle Tickets Unlicensed Foreign Exchange Trading or Binary Options Sweepstakes,CULTURAL AND RECREATIONAL SERVICES
7996,7800,7999,Amusement and entertainment,False,"Amusement parks, circuses, carnivals and fortune tellers","Amusement Parks, Carnivals, Circuses, Fortune Tellers",Amusement Parks/Carnivals,amusement_parks_carnivals,,"Amusement parks, circuses, carnivals and fortune tellers","Amusement Parks, Carnivals, Circuses, Fortune Tellers",,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers",7996,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers","Merchants classified with this MCC operate circuses, carnivals, and amusement and theme parks that offer mechanical rides, snacks and food stands, games, animal exhibits, and entertainment, as well as fortune- telling, astrology, mystic, and tarot card-reading services.","County Fairs Fairs Mystics Tarot Readings
State Fairs",CULTURAL AND RECREATIONAL SERVICES
7997,7800,7999,Amusement and entertainment,False,"Membership clubs (sports, recreation, athletic), country clubs and private golf courses","Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",Country Clubs,country_clubs,,"Membership clubs (sports, recreation, athletic), country clubs and private golf courses","Clubs: Country Clubs, Membership (Athletic, Recreation, Sports), Private Golf Courses",,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses","Merchants classified with this MCC operate sports and recreation facilities that require membership such as exercise, athletic and health clubs, country clubs, private golf courses, boating and yacht clubs, swimming clubs, tennis clubs, bowling leagues, riding clubs, shooting and gun clubs, and racquetball clubs, and may also provide spa services",Athletic Clubs – Physical Fitness Boating Clubs Clubs – Boating Clubs – Gun Clubs – Racquetball Clubs – Sailing Clubs – Sports Clubs – Tennis Clubs – Yacht Country Clubs Exercise Clubs Fitness Clubs Golf Courses – Private Gun Clubs Health Clubs Private Golf Courses Racquetball Clubs Sailing Clubs Sports Clubs Tennis Clubs Yacht Clubs,CULTURAL AND RECREATIONAL SERVICES
7998,7800,7999,Amusement and entertainment,False,"Aquariums, seaquariums and dolphinariums","Aquariums, Sea-aquariums, Dolphinariums",Aquariums,aquariums,,"Aquariums, seaquariums and dolphinariums","Aquariums, Dolphinariums, Zoos, and Seaquariums",,"Aquariums, Seaquariums, and Dolphinariums",7998,"Aquariums, Seaquariums, Dolphinariums, and Zoos",Merchants classified with this MCC operate zoos or sea life parks for entertainment and education for the general public.,Sea Life Parks,CULTURAL AND RECREATIONAL SERVICES
7999,7800,7999,Amusement and entertainment,False,Recreation services -- not elsewhere classified,Recreation Services (Not Elsewhere Classified),Miscellaneous Recreation Services,miscellaneous_recreation_services,,Recreation services - not elsewhere classified,Recreation Services: not elsewhere classified,,Recreation Services - Not Elsewhere Classified,7999,Recreation Services (Not Elsewhere Classified),Merchants classified with this MCC provide a wide variety of recreation and entertainment services that require active physical participation and that are not classified with a more specific MCC.,"Aircraft Rentals Ballooning Batting Cages Bicycle Rentals including electric scooters Fishing/Hunting Licenses Games Instruction Golf – Driving Ranges Horseback Riding Instruction – Games Miniature Golf Motorcycle Rentals Parachuting
Pools – Public Swimming Public Swimming Pools Recreational Services – Aircraft Rentals Recreational Services – Driving Ranges Recreational Services – Miniature Golf Recreational Services – Public Swimming Pools Recreational Services – Ski Slopes Recreational Services – Sport, Games Instruction Rentals – Aircraft Resorts – Miscellaneous Resorts – Ski Roller Skating Rinks Services – Recreation Shooting Ranges Ski Slopes Sky Diving Sports Instruction Swimming Pools – Public",CULTURAL AND RECREATIONAL SERVICES
8011,8000,8999,Professional services and membership organizations,False,Doctors and physicians -- not elsewhere classified,Doctors and Physicians (Not Elsewhere Classified),Doctors,doctors,,Doctors and physicians - not elsewhere classified,Doctors: not elsewhere classified,,Doctors and Physicians - Not Elsewhere Classified,8011,Doctors and Physicians (Not Elsewhere Classified),Merchants classified with this MCC are licensed physicians engaged in a practice of general or specialized medicine and surgery that is not classified with a more specific MCC.,Cosmetic Surgeons Dermatologists Gynecologists Medical Professionals – Doctors Neurologists Obstetricians Orthopedists Pediatricians Physicians Plastic Surgeons Psychiatrists Radiologists Surgeons,HEALTH SERVICES
